Time,PPG
15.05,0.170239848
15.06,0.159472085
15.08,0.151380436
15.09,0.150841266
15.11,0.134212765
15.13,0.119722838
15.14,0.107759556
15.16,0.096798609
15.17,0.068499893
15.19,0.063106275
15.20,0.054719824
15.22,0.04455958
15.23,0.045728919
15.25,0.049108233
15.27,0.037741483
15.28,0.030570064
15.30,0.028242912
15.31,-0.002256971
15.33,-0.013476775
15.34,-0.034416556
15.36,-0.058165759
15.38,-0.067881476
15.39,-0.074768437
15.41,-0.084749033
15.42,-0.08721398
15.44,-0.087738653
15.45,-0.090639824
15.47,-0.083340465
15.48,-0.082002027
15.50,-0.07599615
15.52,-0.078742853
15.53,-0.078354347
15.55,-0.081542749
15.56,-0.098269367
15.58,-0.109215686
15.59,-0.124059486
15.61,-0.141692788
15.63,-0.154063997
15.64,-0.151715312
15.66,-0.160357786
15.67,-0.164589102
15.69,-0.162121851
15.70,-0.168151817
15.72,-0.170689491
15.73,-0.175928166
15.75,-0.177304586
15.77,-0.177602953
15.78,-0.142515521
15.80,-0.087268197
15.81,-0.013446941
15.83,0.014834604
15.84,0.073640507
15.86,0.133805331
15.88,0.157012678
15.89,0.17531803
15.91,0.168269605
15.92,0.164229185
15.94,0.153881217
15.95,0.153433025
15.97,0.155431427
15.98,0.156169796
16.00,0.158071524
16.02,0.144038383
16.03,0.1403286
16.05,0.121708364
16.06,0.11342403
16.08,0.108761602
16.09,0.094651103
16.11,0.08148482
16.13,0.063248925
16.14,0.054432096
16.16,0.040214133
16.17,0.027768823
16.19,0.009128233
16.20,-0.001337787
16.22,-0.004156923
16.23,-0.009964985
16.25,-0.024067905
16.27,-0.030136595
16.28,-0.037311423
16.30,-0.046587117
16.31,-0.055705781
16.33,-0.060860185
16.34,-0.058972369
16.36,-0.065368547
16.38,-0.066645799
16.39,-0.066538543
16.41,-0.076212677
16.42,-0.088797801
16.44,-0.101849599
16.45,-0.116321793
16.47,-0.123925255
16.48,-0.126744029
16.50,-0.137462631
16.52,-0.139154778
16.53,-0.140038344
16.55,-0.146502805
16.56,-0.148343554
16.58,-0.150572708
16.59,-0.154766416
16.61,-0.163248374
16.63,-0.164532635
16.64,-0.161802131
16.66,-0.159277711
16.67,-0.160984742
16.69,-0.163309924
16.70,-0.160261741
16.72,-0.132240872
16.73,-0.061098047
16.75,0.001870591
16.77,0.052602682
16.78,0.103725998
16.80,0.158247554
16.81,0.189315605
16.83,0.193918989
16.84,0.192803014
16.86,0.185958756
16.88,0.178376879
16.89,0.184112377
16.91,0.181235386
16.92,0.187900004
16.94,0.181953655
16.95,0.177548894
16.97,0.181842186
16.98,0.172982709
17.00,0.167266765
17.02,0.156312086
17.03,0.137647667
17.05,0.088830565
17.06,0.071435396
17.08,0.072393568
17.09,0.070904852
17.11,0.058683349
17.13,0.045323613
17.14,0.047227877
17.16,0.0340674
17.17,0.01969284
17.19,0.0024766
17.20,0.002155251
17.22,-0.00777873
17.23,-0.01271368
17.25,-0.01876223
17.27,-0.037961664
17.28,-0.043736497
17.30,-0.056012181
17.31,-0.073110819
17.33,-0.07742752
17.34,-0.072868088
17.36,-0.075793788
17.38,-0.078831988
17.39,-0.079596987
17.41,-0.08613406
17.42,-0.097178907
17.44,-0.099281116
17.45,-0.101807574
17.47,-0.109134734
17.48,-0.106782876
17.50,-0.109912852
17.52,-0.112332237
17.53,-0.117491176
17.55,-0.12278306
17.56,-0.131089318
17.58,-0.140739617
17.59,-0.141020612
17.61,-0.146373931
17.63,-0.134155275
17.64,-0.081855409
17.66,-0.026811742
17.67,0.041383682
17.69,0.097532354
17.70,0.136213945
17.72,0.187281658
17.73,0.211120282
17.75,0.231338097
17.77,0.229755671
17.78,0.226983405
17.80,0.229105646
17.81,0.215054849
17.83,0.214086954
17.84,0.213307159
17.86,0.197231995
17.88,0.177437606
17.89,0.163049138
17.91,0.154946821
17.92,0.1353319
17.94,0.128489086
17.95,0.118012796
17.97,0.103686925
17.98,0.099613097
18.00,0.092450693
18.02,0.075122153
18.03,0.071088604
18.05,0.061785948
18.06,0.058156534
18.08,0.050266212
18.09,0.039602399
18.11,0.019713553
18.13,0.000448469
18.14,-0.006277689
18.16,-0.026723281
18.17,-0.046750486
18.19,-0.048813001
18.20,-0.052445247
18.22,-0.060359623
18.23,-0.057777321
18.25,-0.062760282
18.27,-0.084085499
18.28,-0.087090353
18.30,-0.088609823
18.31,-0.088998989
18.33,-0.091380068
18.34,-0.106959101
18.36,-0.107029985
18.38,-0.111828796
18.39,-0.113467198
18.41,-0.119021487
18.42,-0.138345442
18.44,-0.14952591
18.45,-0.155066459
18.47,-0.164331349
18.48,-0.162757482
18.50,-0.167686426
18.52,-0.1719494
18.53,-0.172450173
18.55,-0.144498722
18.56,-0.107451373
18.58,-0.035107288
18.59,0.051553474
18.61,0.118078548
18.63,0.178561353
18.64,0.218890233
18.66,0.229460806
18.67,0.239013304
18.69,0.236562946
18.70,0.218432553
18.72,0.206677308
18.73,0.198224384
18.75,0.201211071
18.77,0.193113193
18.78,0.182097057
18.80,0.170651806
18.81,0.161454642
18.83,0.148118774
18.84,0.133053966
18.86,0.129698339
18.88,0.125341685
18.89,0.129708189
18.91,0.130165957
18.92,0.119569032
18.94,0.105883535
18.95,0.0893569
18.97,0.073559346
18.98,0.068828954
19.00,0.043718131
19.02,0.011993296
19.03,0.005030991
19.05,-0.00531122
19.06,-0.019929214
19.08,-0.036333242
19.09,-0.04220829
19.11,-0.055924623
19.13,-0.067665941
19.14,-0.079514915
19.16,-0.083789142
19.17,-0.087711803
19.19,-0.090278169
19.20,-0.087733618
